block_no,timestamp_data,base_fee,gas_limit,gas_used,block_fullness
24433472,1770812207,110377441,60000000,32868589,0.5478098166666666
24433473,1770812219,111696722,60000000,26846458,0.44744096666666666
24433474,1770812231,110229055,60000000,34926711,0.58211185
24433475,1770812243,112491832,60000000,15580743,0.25967905
24433476,1770812255,105733297,60000000,21576029,0.35960048333333333
24433477,1770812267,102022072,60000000,42585211,0.7097535166666666
24433478,1770812279,107371944,60000000,16077590,0.26795983333333334
24433479,1770812291,101143294,60000000,36298600,0.6049766666666667
24433480,1770812303,103797715,60000000,28683109,0.4780518166666667
24433481,1770812315,103228173,60000000,7519130,0.12531883333333332
24433482,1770812327,93558760,59941408,41842548,0.6980574763942816
24433483,1770812339,98191262,59999943,20135586,0.3355934188137479
24433484,1770812351,94155440,60000000,24249904,0.4041650666666667
24433485,1770812363,91899595,60000000,57542491,0.9590415166666667
24433486,1770812375,102446027,60000000,14220211,0.23700351666666666
24433487,1770812387,95710291,60000000,28794933,0.47991555
24433488,1770812399,95229719,60000000,18670661,0.31117768333333334
24433489,1770812411,90734345,60000000,51524827,0.8587471166666667
24433490,1770812423,98872016,60000000,31110872,0.5185145333333333
24433491,1770812435,99329658,60000000,24249899,0.40416498333333334
24433492,1770812447,96949844,60000000,13587588,0.2264598
24433493,1770812459,90319925,60000000,30752544,0.5125424
24433494,1770812471,90603132,60000000,12658042,0.21096736666666666
24433495,1770812483,84056317,60000000,23392135,0.3898689166666667
24433496,1770812495,81742014,60000000,27103861,0.45173101666666665
24433497,1770812507,80755614,60000000,59647467,0.99412445
24433498,1770812519,90731444,60000000,13193445,0.21989075
24433499,1770812531,84377765,60000000,59995553,0.9999258833333333
24433500,1770812543,94923422,60000000,26641916,0.44403193333333335
24433501,1770812555,93595252,60000000,33042111,0.55070185
24433502,1770812567,94781615,60000000,31448778,0.5241463
24433503,1770812579,95353771,60000000,57912089,0.9652014833333333
24433504,1770812591,106443449,59941408,17688372,0.29509436948828427
24433505,1770812603,100990734,59999943,21613970,0.3602331755548501
24433506,1770812615,97461946,60000000,38262622,0.6377103666666667
24433507,1770812627,100817326,59941408,57938497,0.9665855196461184
24433508,1770812639,112577302,59999943,21298243,0.3549710538891679
24433509,1770812651,108495561,60000000,44208777,0.73681295
24433510,1770812663,114918849,60000000,37760787,0.62934645
24433511,1770812675,118634935,60000000,23815781,0.39692968333333334
24433512,1770812687,115578000,59941408,25918827,0.4324027056554961
24433513,1770812699,113624810,59999943,45177569,0.752960199
24433514,1770812711,120810448,60000000,30894553,0.5149092166666667
24433515,1770812723,121260745,60000000,30201405,0.50335675
24433516,1770812735,121362505,60000000,34068406,0.5678067666666666
24433517,1770812747,123419804,60000000,20739534,0.3456589
24433518,1770812759,118657617,60000000,9569265,0.15948775
24433519,1770812771,108556524,60000000,56094493,0.9349082166666667
24433520,1770812783,120359555,60000000,47535801,0.79226335
24433521,1770812795,129153726,60000000,28647287,0.47745478333333335
24433522,1770812807,128425777,60000000,23937049,0.39895081666666665
24433523,1770812819,125181448,60000000,26382689,0.4397114833333333
24433524,1770812831,123294698,60000000,29303094,0.4883849
24433525,1770812843,122936678,60000000,33547744,0.5591290666666666
24433526,1770812855,124753960,59941408,38818219,0.6476027223117615
24433527,1770812867,129357466,59999943,18040669,0.30067810231086384
24433528,1770812879,122911523,59941351,36523558,0.6093215683443638
24433529,1770812891,126270743,59999886,18645622,0.3107609571124852
24433530,1770812903,120296905,60000000,29680437,0.49467395
