block_number,timestamp,base_fee_per_gas
24442913,1770926087,88327438
24442914,1770926099,83397627
24442915,1770926111,90837160
24442916,1770926123,88496475
24442917,1770926135,96643312
24442918,1770926147,97216051
24442919,1770926159,90599833
24442920,1770926171,89781748
24442921,1770926183,91326391
24442922,1770926195,91594105
24442923,1770926207,92613979
24442924,1770926219,91985995
24442925,1770926231,85882061
24442926,1770926243,81847813
24442927,1770926255,85057430
24442928,1770926267,84649130
24442929,1770926279,83763883
24442930,1770926291,83957671
24442931,1770926303,84295555
24442932,1770926315,77498339
24442933,1770926327,84944420
24442934,1770926339,76416622
24442935,1770926351,81063186
24442936,1770926363,88668622
24442937,1770926375,82463570
24442938,1770926387,81810181
24442939,1770926399,89387229
24442940,1770926411,90935507
24442941,1770926423,95290204
24442942,1770926435,94910093
24442943,1770926447,93512474
24442944,1770926459,94070595
24442945,1770926471,92573000
24442946,1770926483,91135361
24442947,1770926495,82842758
24442948,1770926507,93186172
24442949,1770926519,88332964
24442950,1770926531,93670615
24442951,1770926543,94814371
24442952,1770926555,87400005
24442953,1770926567,89872347
24442954,1770926579,88503530
24442955,1770926591,88136931
24442956,1770926603,85374050
24442957,1770926615,77584808
24442958,1770926627,70504792
24442959,1770926639,76973255
24442960,1770926651,74551025
24442961,1770926663,76530447
24442962,1770926675,76042889
24442963,1770926687,76002634
24442964,1770926699,74511534
24442965,1770926711,69245091
24442966,1770926723,62379123
24442967,1770926735,70153484
24442968,1770926747,70319681
24442969,1770926759,66965068
24442970,1770926771,64326167
24442971,1770926783,71242874
24442972,1770926795,69154304
24442973,1770926807,66734336
24442974,1770926819,62018968
24442975,1770926831,61400773
24442976,1770926843,65245044
24442977,1770926855,65765289
24442978,1770926867,72488474
24442979,1770926879,72835023
24442980,1770926891,72109212
24442981,1770926903,69841889
24442982,1770926915,70672366
24442983,1770926927,74028324
24442984,1770926939,81339597
24442985,1770926951,73949805
24442986,1770926963,72267665
24442987,1770926975,70747062
24442988,1770926987,76010977
24442989,1770926999,71918999
24442990,1770927011,68422231
24442991,1770927023,68095129
24442992,1770927035,62528476
24442993,1770927047,56650853
24442994,1770927059,56557231
24442995,1770927071,56784734
24442996,1770927083,57926195
24442997,1770927095,56834523
24442998,1770927107,63938355
24442999,1770927119,71930182
24443000,1770927131,74494604
24443001,1770927143,68449511
24443002,1770927155,71801820
24443003,1770927167,73436330
24443004,1770927179,74930777
24443005,1770927191,76618274
24443006,1770927203,75934521
24443007,1770927215,80090370
24443008,1770927227,79974625
24443009,1770927239,79429748
24443010,1770927251,78198460
24443011,1770927263,72236468
24443012,1770927275,73370116
24443013,1770927287,74538429
24443014,1770927299,75127571
24443015,1770927311,73787309
24443016,1770927323,70264574
24443017,1770927335,73279978
24443018,1770927347,77448252
24443019,1770927359,73701465
24443020,1770927371,72184620
24443021,1770927383,73516441
24443022,1770927395,66207488
24443023,1770927407,72277332
24443024,1770927419,71262070
24443025,1770927431,69677721
24443026,1770927443,69547446
24443027,1770927455,67376810
24443028,1770927467,67237567
24443029,1770927479,65532627
24443030,1770927491,68876459
24443031,1770927503,65112943
24443032,1770927515,64497292
24443033,1770927527,61360938
24443034,1770927539,58466805
24443035,1770927551,65672853
24443036,1770927563,65505957
24443037,1770927575,60429587
24443038,1770927587,54396240
24443039,1770927599,61160160
24443040,1770927611,56337805
24443041,1770927623,62289826
24443042,1770927635,60701761
24443043,1770927647,59110011
24443044,1770927659,57943643
24443045,1770927671,54556814
24443046,1770927683,56482223
24443047,1770927695,51678315
24443048,1770927707,52664916
24443049,1770927719,54930755
24443050,1770927731,55008881
24443051,1770927743,56887423
24443052,1770927755,58387322
24443053,1770927767,53896477
24443054,1770927779,57812711
24443055,1770927791,62034027
24443056,1770927803,63510272
24443057,1770927815,57593644
24443058,1770927827,59808600
24443059,1770927839,66406087
24443060,1770927851,61859018
24443061,1770927863,65640342
24443062,1770927875,66941350
24443063,1770927887,61316870
24443064,1770927899,68979530
24443065,1770927911,67520684
24443066,1770927923,67390107
24443067,1770927935,65479761
24443068,1770927947,60026133
24443069,1770927959,56084597
24443070,1770927971,54644992
24443071,1770927983,61460961
24443072,1770927995,63023875
24443073,1770928007,63257512
24443074,1770928019,64623949
24443075,1770928031,58828064
24443076,1770928043,63508762
24443077,1770928055,64339184
24443078,1770928067,62290500
24443079,1770928079,64076552
24443080,1770928091,64362364
24443081,1770928103,69269342
24443082,1770928127,70345713
24443083,1770928139,71995191
24443084,1770928151,74493540
24443085,1770928163,77297547
24443086,1770928175,74467688
24443087,1770928187,75132244
24443088,1770928199,73143368
24443089,1770928211,71515745
24443090,1770928223,74062384
24443091,1770928235,68446950
24443092,1770928247,66940960
24443093,1770928259,75270632
24443094,1770928271,75777968
24443095,1770928283,71888078
24443096,1770928295,68744924
24443097,1770928307,68091938
24443098,1770928319,73189226
24443099,1770928331,67892311
24443100,1770928343,72386550
24443101,1770928355,81200874
24443102,1770928367,82630173
24443103,1770928379,77805433
24443104,1770928391,77847396
24443105,1770928403,78514844
24443106,1770928415,74893885
24443107,1770928427,71299889
24443108,1770928439,80195787
24443109,1770928451,73717187
24443110,1770928463,70933373
24443111,1770928475,66855173
24443112,1770928487,61909597
24443113,1770928499,69640270
24443114,1770928511,71199282
24443115,1770928523,70708439
24443116,1770928535,64751591
24443117,1770928547,72787789
24443118,1770928559,68526879
24443119,1770928571,62677809
24443120,1770928583,70373141
24443121,1770928595,66784120
24443122,1770928607,64866955
24443123,1770928619,65941323
24443124,1770928631,66340723
24443125,1770928643,69691593
24443126,1770928655,70742693
24443127,1770928667,63733562
24443128,1770928679,64140390
24443129,1770928691,62407273
24443130,1770928703,69328699
24443131,1770928715,68027254
24443132,1770928727,62389387
24443133,1770928739,67357800
24443134,1770928751,63922949
24443135,1770928763,62019023
24443136,1770928775,60604940
24443137,1770928787,62341549
24443138,1770928799,60199280
24443139,1770928811,58311712
24443140,1770928823,60038072
24443141,1770928835,56736544
24443142,1770928847,63825393
24443143,1770928859,67887525
24443144,1770928871,69662798
24443145,1770928883,68636888
24443146,1770928895,68143400
24443147,1770928907,65055835
24443148,1770928919,64977445
24443149,1770928931,59643656
24443150,1770928943,55280360
24443151,1770928955,60652620
24443152,1770928967,62366608
24443153,1770928979,64321674
24443154,1770928991,65450515
24443155,1770929003,67422999
24443156,1770929015,61330992
24443157,1770929027,60861096
